"TIME","GEO","UNIT","NA_ITEM","Value"
"2009","European Union - 28 countries","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9"
"2009","European Union - 28 countries","Current prices, million euro","Gross domestic product at market prices","12,324,698.9"
"2009","European Union - 28 countries","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,574,859.0"
"2009","European Union - 27 countries (from 2019)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9"
"2009","European Union - 27 countries (from 2019)","Current prices, million euro","Gross domestic product at market prices","10,587,698.7"
"2009","European Union - 27 countries (from 2019)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,743,310.2"
"2009","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.8"
"2009","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","11,371,754.7"
"2009","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,573,414.1"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,215,029.0"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,274,999.1"
"2009","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9"
"2009","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,274,983.0"
"2009","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,335,685.7"
"2009","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9"
"2009","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,089,864.4"
"2009","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,149,305.3"
"2009","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.2"
"2009","Belgium","Current prices, million euro","Gross domestic product at market prices","346,472.8"
"2009","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","353,028.4"
"2009","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.4"
"2009","Bulgaria","Current prices, million euro","Gross domestic product at market prices","37,400.2"
"2009","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","37,828.6"
"2009","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.8"
"2009","Czechia","Current prices, million euro","Gross domestic product at market prices","148,682.0"
"2009","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","153,234.6"
"2009","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.2"
"2009","Denmark","Current prices, million euro","Gross domestic product at market prices","231,278.0"
"2009","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","238,699.3"
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.0"
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,445,730.0"
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,461,533.3"
"2009","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.4"
"2009","Estonia","Current prices, million euro","Gross domestic product at market prices","14,211.8"
"2009","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","14,471.4"
"2009","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.2"
"2009","Ireland","Current prices, million euro","Gross domestic product at market prices","170,100.5"
"2009","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","164,750.4"
